"date","close","volume","open","high","low"
"16:00","270.06","85,771,198","270.13","271.20","269.18"
"2019/01/31","269.9300","103347200.0000","267.5100","270.4700","267.2700"
"2019/01/30","267.5800","92069900.0000","265.1000","268.5200","264.2500"
"2019/01/29","263.4100","65024130.0000","263.9200","264.5500","262.4800"
"2019/01/28","263.7600","85027280.0000","263.3900","263.8300","261.7900"
"2019/01/25","265.7800","96838230.0000","265.6100","266.7000","263.6595"
"2019/01/24","263.5500","58643080.0000","263.2100","264.2000","262.0800"
"2019/01/23","263.4100","84305190.0000","264.0100","264.7900","260.6600"
"2019/01/22","262.8600","115253300.0000","264.8200","265.0600","261.0600"
"2019/01/18","266.4600","124175900.0000","264.9800","266.9800","262.9980"
"2019/01/17","262.9600","94873800.0000","260.0100","263.9200","259.9600"
"2019/01/16","260.9800","77489420.0000","260.8300","261.9666","260.6000"
"2019/01/15","260.3500","84892580.0000","257.8200","260.7000","257.8100"
"2019/01/14","257.4000","69913980.0000","256.8600","258.3000","256.4100"
"2019/01/11","258.9800","72812270.0000","257.6800","259.0098","257.0300"
"2019/01/10","258.8800","96462500.0000","256.2600","259.1600","255.5000"
"2019/01/09","257.9700","94640560.0000","257.5600","258.9100","256.1900"
"2019/01/08","256.7700","101804900.0000","256.8200","257.3100","254.0000"
"2019/01/07","254.3800","102307400.0000","252.6900","255.9500","251.6900"
"2019/01/04","252.3900","142444500.0000","247.5900","253.1100","247.1700"
"2019/01/03","244.2100","142029300.0000","248.2300","248.5700","243.6700"
"2019/01/02","250.1800","126041700.0000","245.9800","251.2100","245.9500"
"2018/12/31","249.9200","143399900.0000","249.5600","250.1900","247.4700"
"2018/12/28","247.7500","152931300.0000","249.5800","251.4000","246.4500"
"2018/12/27","248.0700","184664900.0000","242.5700","248.2900","238.9600"
"2018/12/26","246.1800","217567600.0000","235.9700","246.1800","233.7600"
"2018/12/24","234.3400","147311600.0000","239.0400","240.8355","234.2700"
"2018/12/21","240.7000","252779300.0000","246.7400","249.7100","239.9800"
"2018/12/20","247.1700","247438000.0000","249.8600","251.6200","244.6500"
"2018/12/19","251.2600","214312900.0000","255.1700","259.4000","249.3500"
"2018/12/18","255.0800","133073600.0000","257.2000","257.9500","253.2800"
"2018/12/17","255.3600","165088800.0000","259.4000","260.6500","253.5250"
"2018/12/14","260.4700","116727700.0000","262.9600","264.0300","259.8500"
"2018/12/13","265.3700","96168730.0000","266.5200","267.4900","264.1200"
"2018/12/12","265.4600","97670090.0000","267.4700","269.0000","265.3700"
"2018/12/11","264.1300","120632500.0000","267.6600","267.8700","262.4800"
"2018/12/10","264.0700","151022400.0000","263.3700","265.1613","258.6200"
"2018/12/07","263.5700","160872400.0000","269.4600","271.2200","262.6300"
"2018/12/06","269.8400","203716500.0000","265.9200","269.9700","262.4400"
"2018/12/04","270.2500","176092500.0000","278.3700","278.8500","269.9000"
"2018/12/03","279.3000","102782300.0000","280.2800","280.4000","277.5050"
"2018/11/30","275.6500","95107720.0000","273.8100","276.2800","273.4500"
"2018/11/29","273.9800","81616860.0000","273.7100","275.5500","272.4300"
"2018/11/28","274.5800","127124600.0000","269.6000","274.5800","268.3272"
"2018/11/27","268.4000","75273810.0000","266.3400","268.4000","265.6600"
"2018/11/26","267.5000","79705470.0000","265.7800","267.7500","265.3400"
"2018/11/23","263.2500","42807880.0000","263.1800","264.8234","263.0700"
"2018/11/21","265.0200","73868530.0000","265.8600","267.1500","265.0100"
"2018/11/20","264.1200","135506200.0000","265.3600","267.0000","263.1500"
"2018/11/19","269.1000","102555300.0000","273.0500","273.3800","268.0700"
"2018/11/16","273.7300","126601900.0000","271.7900","274.7500","271.2100"
"2018/11/15","273.0200","134732600.0000","268.7800","273.5400","267.0102"
"2018/11/14","270.2000","124389400.0000","274.1600","274.6100","268.4500"
"2018/11/13","272.0600","97769120.0000","273.0900","275.3250","271.2500"
"2018/11/12","272.5700","99129960.0000","277.1900","277.4600","271.9900"
"2018/11/09","277.7600","98751520.0000","279.0300","279.2400","276.1800"
"2018/11/08","280.5000","65315460.0000","280.1100","281.2200","279.2200"
"2018/11/07","281.0100","102473700.0000","277.5600","281.1000","277.0800"
"2018/11/06","275.1200","58983590.0000","273.3200","275.3000","273.2500"
"2018/11/05","273.3900","65439740.0000","272.4400","274.0100","271.3500"
"2018/11/02","271.8900","122439600.0000","274.7500","275.2300","269.5900"
"2018/11/01","273.5100","98741380.0000","271.6000","273.7300","270.3800"
"2018/10/31","270.6300","127608600.0000","270.6500","273.2300","270.1200"
